,Number of Hosts,Algorithm,Job Number,Job Type,Job Period,Target Server,Job Success Rate
231,3,aosd,12,tcp_speed_test,20,10.0.1.1,150.0
232,3,aosd,7,tcp_speed_test,13,10.0.1.1,100.0
233,3,aosd,36,tcp_speed_test,13,10.0.1.1,100.0
234,3,aosd,15,tcp_speed_test,14,10.0.1.1,107.14285714285714
235,3,aosd,19,tcp_speed_test,19,10.0.1.1,136.36363636363635
236,3,aosd,9,tcp_speed_test,11,10.0.1.1,83.33333333333334
237,3,aosd,18,tcp_speed_test,13,10.0.1.1,100.0
238,3,aosd,40,tcp_speed_test,18,10.0.1.1,136.36363636363635
239,3,aosd,26,tcp_speed_test,18,10.0.1.1,136.36363636363635
240,3,aosd,25,tcp_speed_test,17,10.0.1.1,125.0
241,3,aosd,24,tcp_speed_test,19,10.0.1.1,150.0
242,3,aosd,29,tcp_speed_test,14,10.0.1.1,107.14285714285714
243,3,aosd,14,tcp_speed_test,14,10.0.1.1,107.14285714285714
244,3,aosd,20,tcp_speed_test,13,10.0.1.1,100.0
245,3,aosd,8,tcp_speed_test,13,10.0.1.1,100.0
246,3,aosd,10,tcp_speed_test,10,10.0.1.1,78.94736842105263
247,3,aosd,35,tcp_speed_test,12,10.0.1.1,93.75
248,3,aosd,33,tcp_speed_test,11,10.0.1.1,83.33333333333334
249,3,aosd,37,tcp_speed_test,15,10.0.1.1,115.38461538461537
250,4,random,30,tcp_speed_test,17,10.0.1.1,125.0
251,4,random,4,tcp_speed_test,17,10.0.1.1,125.0
252,4,random,48,tcp_speed_test,14,10.0.1.1,107.14285714285714
253,4,random,39,tcp_speed_test,19,10.0.1.1,136.36363636363635
254,4,random,38,tcp_speed_test,11,10.0.1.1,88.23529411764706
255,4,random,16,tcp_speed_test,14,10.0.1.1,107.14285714285714
256,4,random,32,tcp_speed_test,13,10.0.1.1,100.0
257,4,random,43,tcp_speed_test,19,10.0.1.1,136.36363636363635
258,4,random,2,tcp_speed_test,12,10.0.1.1,93.75
259,4,random,27,tcp_speed_test,20,10.0.1.1,150.0
